lan,cat,precision,recall,f1
java,summary,0.8712241653418124,0.8867313915857605,0.8789093825180433
java,Ownership,1.0,1.0,1.0
java,Expand,0.3300970873786408,0.43037974683544306,0.37362637362637363
java,usage,0.8838028169014085,0.8508474576271187,0.8670120898100173
java,Pointer,0.7756410256410257,0.968,0.8612099644128114
java,deprecation,0.875,0.7,0.7777777777777778
java,rational,0.3116883116883117,0.41379310344827586,0.35555555555555557
python,Usage,0.6666666666666666,0.6813186813186813,0.6739130434782609
python,Parameters,0.6881720430107527,0.7529411764705882,0.7191011235955056
python,DevelopmentNotes,0.2191780821917808,0.5,0.3047619047619048
python,Expand,0.4533333333333333,0.6666666666666666,0.5396825396825397
python,Summary,0.6896551724137931,0.6557377049180327,0.6722689075630253
pharo,Keyimplementationpoints,0.5625,0.6428571428571429,0.6
pharo,Example,0.8863636363636364,0.8764044943820225,0.8813559322033898
pharo,Responsibilities,0.6326530612244898,0.7380952380952381,0.6813186813186813
pharo,Intent,0.72,0.8571428571428571,0.782608695652174
pharo,Keymessages,0.4782608695652174,0.7333333333333333,0.5789473684210527
pharo,Collaborators,0.10344827586206896,0.42857142857142855,0.16666666666666666
